original_file,new_file,group,number,common_name,dap_type,rep,control_files,source
ampA31_3.bw,A_GRAS10_ampDAP_rep3.bw,A,31,GRAS10,ampDAP,3,ampA_N_3.bw,daplist
CN79-1.bw,CN_SlZIP1_DAP_rep1.bw,CN,79,SlZIP1,DAP,1,CN-N-1.bw,daplist
CN96-1.bw,CN_SlySBP12a_DAP_rep1.bw,CN,96,SlySBP12a,DAP,1,CN-N-1.bw,total_mapped_uniq
ampD108-2.bw,D_SlHZIP2_ampDAP_rep2.bw,D,108,SlHZIP2,ampDAP,2,ampD-N-2.bw,daplist
ampA27_3.bw,A_EIL4_ampDAP_rep3.bw,A,27,EIL4,ampDAP,3,ampA_N_3.bw,daplist
A23-1.bw,A_TM29_DAP_rep1.bw,A,23,TM29,DAP,1,A-N-1.bw,daplist
B54_3.bw,B_SlMYB70_DAP_rep3.bw,B,54,SlMYB70,DAP,3,B_N_3.bw,daplist
SR64-2.bw,SR_SlZIP7_ampDAP_rep2.bw,SR,64,SlZIP7,ampDAP,2,SRN-2.bw,daplist
SRRIN_TDR4-1.bw,SRRIN_TDR4-1.bw,NA,NA,NA,NA,NA,NA,
ampC84-3.bw,C_Dof4_ampDAP_rep3.bw,C,84,Dof4,ampDAP,3,ampC-N-3.bw,daplist
D121_2.bw,D_Sl-ERF_C_6_DAP_rep2.bw,D,121,Sl-ERF_C_6,DAP,2,D_N_2.bw,daplist
CN84-2.bw,CN_Dof4_DAP_rep2.bw,CN,84,Dof4,DAP,2,CN-N-2.bw,daplist
A28-1.bw,A_LES1_DAP_rep1.bw,A,28,LES1,DAP,1,A-N-1.bw,daplist
A27-2.bw,A_EIL4_DAP_rep2.bw,A,27,EIL4,DAP,2,A-N-2.bw,daplist
ampD115-2.bw,D_SlERF4-2_ampDAP_rep2.bw,D,115,SlERF4-2,ampDAP,2,ampD-N-2.bw,daplist
SR38-2.bw,SR_SlHB1_ampDAP_rep2.bw,SR,38,SlHB1,ampDAP,2,SRN-2.bw,daplist
ampB66_1.bw,B_SlWRKY40_ampDAP_rep1.bw,B,66,SlWRKY40,ampDAP,1,ampB_N_1.bw,daplist
CN72-1.bw,CN_SolycHsfC1_DAP_rep1.bw,CN,72,SolycHsfC1,DAP,1,CN-N-1.bw,daplist
CN92-2.bw,CN_ERF10_DAP_rep2.bw,CN,92,ERF10,DAP,2,CN-N-2.bw,daplist
F47-1.bw,F_GRAS9_DAP_rep1.bw,F,47,GRAS9,DAP,1,F-N-1.bw,bpnet
ampD103-2.bw,D_SlWRKY3_ampDAP_rep2.bw,D,103,SlWRKY3,ampDAP,2,ampD-N-2.bw,bpnet
A31-2.bw,A_GRAS10_DAP_rep2.bw,A,31,GRAS10,DAP,2,A-N-2.bw,daplist
B64_2.bw,B_SlZIP7_DAP_rep2.bw,B,64,SlZIP7,DAP,2,B_N_2.bw,daplist
ampA7_1.bw,A_MADS-RIN_ampDAP_rep1.bw,A,7,MADS-RIN,ampDAP,1,ampA_N_1.bw,daplist
B49_3.bw,B_Sl-ERF_E_4_DAP_rep3.bw,B,49,Sl-ERF_E_4,DAP,3,B_N_3.bw,daplist
ampA8_2.bw,A_LeZIP2_ampDAP_rep2.bw,A,8,LeZIP2,ampDAP,2,ampA_N_2.bw,daplist
ampC92-3.bw,C_ERF10_ampDAP_rep3.bw,C,92,ERF10,ampDAP,3,ampC-N-3.bw,daplist
A7-3.bw,A_MADS-RIN_DAP_rep3.bw,A,7,MADS-RIN,DAP,3,A-N-3.bw,daplist
ampB44_3.bw,B_SlERF36_ampDAP_rep3.bw,B,44,SlERF36,ampDAP,3,ampB_N_3.bw,daplist
SR122-2.bw,SR_SlMYB44_ampDAP_rep2.bw,SR,122,SlMYB44,ampDAP,2,SRN-2.bw,daplist
ampA17_2.bw,A_CBF2_ampDAP_rep2.bw,A,17,CBF2,ampDAP,2,ampA_N_2.bw,daplist
ampA18_1.bw,A_SlWRKY11_ampDAP_rep1.bw,A,18,SlWRKY11,ampDAP,1,ampA_N_1.bw,daplist
A6-2.bw,A_Sl-ERF_F_2_DAP_rep2.bw,A,6,Sl-ERF_F_2,DAP,2,A-N-2.bw,daplist
A9-1.bw,A_VAHOX1_DAP_rep1.bw,A,9,VAHOX1,DAP,1,A-N-1.bw,daplist
ampA16_3.bw,A_SlWRKY31_ampDAP_rep3.bw,A,16,SlWRKY31,ampDAP,3,ampA_N_3.bw,bpnet
ampA9_3.bw,A_VAHOX1_ampDAP_rep3.bw,A,9,VAHOX1,ampDAP,3,ampA_N_3.bw,daplist
B48_2.bw,B_SlERF4-1_DAP_rep2.bw,B,48,SlERF4-1,DAP,2,B_N_2.bw,daplist
ampC73-1.bw,C_Sl-ERF_C_4_ampDAP_rep1.bw,C,73,Sl-ERF_C_4,ampDAP,1,ampC-N-1.bw,daplist
A12-1.bw,A_Sl-ERF_E_1_DAP_rep1.bw,A,12,Sl-ERF_E_1,DAP,1,A-N-1.bw,daplist
ampC93-2.bw,C_PTI4_ampDAP_rep2.bw,C,93,PTI4,ampDAP,2,ampC-N-2.bw,daplist
ampD120-1.bw,D_Sl-ERF_F_5_ampDAP_rep1.bw,D,120,Sl-ERF_F_5,ampDAP,1,ampD-N-1.bw,daplist
A30-3.bw,A_EIL1_DAP_rep3.bw,A,30,EIL1,DAP,3,A-N-3.bw,daplist
CN93-3.bw,CN_PTI4_DAP_rep3.bw,CN,93,PTI4,DAP,3,CN-N-3.bw,daplist
A26-3.bw,A_LAT61_DAP_rep3.bw,A,26,LAT61,DAP,3,A-N-3.bw,daplist
D120_3.bw,D_Sl-ERF_F_5_DAP_rep3.bw,D,120,Sl-ERF_F_5,DAP,3,D_N_3.bw,daplist
SR1-3.bw,SR_JERF1_ampDAP_rep3.bw,SR,1,JERF1,ampDAP,3,SRN-3.bw,daplist
